GL.02.03,SATELLITE TOWN Skardu,GL.02
GL.02.04,SKARDU,GL.02
GL.03.01,DANYORE-1,GL.03
GL.03.02,DANYORE-10,GL.03
GL.03.03,DANYORE-11,GL.03
GL.03.04,DANYORE-12,GL.03
GL.03.05,DANYORE-2,GL.03
GL.03.06,DANYORE-3,GL.03
GL.03.07,DANYORE-4,GL.03
GL.03.08,DANYORE-5,GL.03
GL.03.09,DANYORE-6,GL.03
GL.03.10,DANYORE-7,GL.03
GL.03.11,DANYORE-8,GL.03
GL.03.12,DANYORE-9,GL.03
GL.03.13,OSHIKHANDAS-1,GL.03
GL.03.14,OSHIKHANDAS-2,GL.03
GL.03.15,OSHIKHANDAS-3,GL.03
GL.03.16,OSHIKHANDAS-4,GL.03
GL.03.17,OSHIKHANDAS-5,GL.03
GL.03.18,OSHIKHANDAS-6,GL.03
GL.03.19,OSHIKHANDAS-7,GL.03
GL.03.20,OSHIKHANDAS-8,GL.03
GL.03.21,SULTANABAD-1,GL.03
GL.03.22,SULTANABAD-2,GL.03
GL.03.23,SULTANABAD-3,GL.03
GL.03.24,SULTANABAD-4,GL.03
GL.03.25,OSHIKHANDAS-9,GL.03
GL.03.26,RAHIMABAD-1,GL.03
GL.03.27,RAHIMABAD-2,GL.03
GL.03.28,RAHIMABAD-3,GL.03
GL.03.29,RAHIMABAD-4,GL.03
GY.01.01,ALYABAD Hundrap-3,GY.01
GY.01.02,BARSET-1,GY.01
GY.01.03,BARSET-2,GY.01
GY.01.04,BARSET-3,GY.01
GY.01.05,BARSET-4 Brundan,GY.01
GY.01.06,BARSET-5 Akhtobaring,GY.01
GY.01.07,BARSET-6 Utaily,GY.01
GY.01.08,BOYANDEH,GY.01
GY.01.09,GHOLAGHMULLI Central,GY.01
GY.01.10,GHOLAGHTORI,GY.01
GY.01.11,HELTY,GY.01
GY.01.12,HUNDRAP-1 Paien,GY.01
GY.01.13,HUNDRAP-2 Bala,GY.01
GY.01.14,HUSSAINABAD,GY.01
GY.01.15,KARIMABAD Teru-4,GY.01
GY.01.16,KHONANDEH,GY.01
GY.01.17,SHAHIMAL,GY.01
GY.01.18,TERECH,GY.01
GY.01.19,TERU-1 Bahachi,GY.01
GY.01.20,TERU-2 Paien,GY.01
GY.01.21,TERU-3 Bala,GY.01
GY.01.22,HERKUSH,GY.01
GY.01.23,"MOMINABAD, Teru",GY.01
GY.02.01,ALY BASTI,GY.02
GY.02.02,ALYABAD,GY.02
GY.02.03,CHIRMAYUN,GY.02
GY.02.04,DALTI,GY.02
GY.02.05,DODOSHOT,GY.02
GY.02.06,DROTE,GY.02
GY.02.07,DURNAK,GY.02
GY.02.08,GAMIS,GY.02
GY.02.09,GUPIS Central,GY.02
GY.02.10,GUPIS-1 Daas,GY.02
GY.02.11,GUPIS-2 Bala,GY.02
GY.02.12,HAKIS,GY.02
GY.02.13,HAMARDAS,GY.02
GY.02.14,KARIMABAD-1 Sub Centre,GY.02
GY.02.15,KARIMABAD-2 Bala,GY.02
GY.02.16,KARIMABAD-3 Paien,GY.02
GY.02.17,KASHBAT,GY.02
GY.02.18,KHALTI,GY.02
GY.02.19,MAULAABAD,GY.02
GY.02.20,NOORABAD,GY.02
GY.02.21,RAUSHAN,GY.02
GY.02.22,SUMAL,GY.02
GY.02.23,TALIDAS,GY.02
GY.02.24,YANGAL-1 Paien,GY.02
GY.02.25,YANGAL-2 Bala,GY.02
GY.02.26,ZULFIQARABAD Khalti,GY.02
GY.03.01,ALYABAD Anotek,GY.03
GY.03.02,ALYABAD Shamaran-4,GY.03
GY.03.03,BEREST,GY.03
GY.03.04,CHASHI-1 Bala,GY.03
GY.03.05,CHASHI-2 Paien,GY.03
GY.03.06,CHASHI-3 Tologh,GY.03
GY.03.07,DALOMAL,GY.03
GY.03.08,DALOMAL - 2,GY.03
GY.03.09,DERBARKOLTI-1 Paien,GY.03
GY.03.10,DERBARKOLTI-2 Bala,GY.03
GY.03.11,GHOLOGH,GY.03
GY.03.12,JAFFARABAD Joharbabad,GY.03
GY.03.13,KINOTE,GY.03
GY.03.14,MOMEENABAD Shamaran-5,GY.03
GY.03.15,PHUNDER Central,GY.03
GY.03.16,RAHIMABAD Derberkulti-3,GY.03
GY.03.17,RAWAT - 2,GY.03
GY.03.18,RAWAT Shamaran-3,GY.03
GY.03.19,SERBAL,GY.03
GY.03.20,SHAHABAD,GY.03
GY.03.21,SHAMARAN-1,GY.03
GY.03.22,SHAMARAN-2,GY.03
GY.03.23,SHINGLAT,GY.03
GY.03.24,"KARIMABAD, Serbal",GY.03
GY.04.01,DAHIMAL,GY.04
GY.04.02,HAMER,GY.04
GY.04.03,JIKARUM,GY.04
GY.04.04,JOLIJAL,GY.04
GY.04.05,KHASUNDER,GY.04
GY.04.06,MATUJ LASHT,GY.04
GY.04.07,NOGHOOR LASHT,GY.04
GY.04.08,NOLTY,GY.04
GY.04.09,PAYUKHUSH,GY.04
GY.04.10,PINGAL,GY.04
GY.04.11,SARALO KHOTU,GY.04
GY.04.12,SOSOT,GY.04
GY.04.13,THANGAI Sub-Centre,GY.04
GY.04.99,NIKASOT,GY.04
GY.05.01,BERKULTEY-1,GY.05
GY.05.02,BERKULTEY-2,GY.05
GY.05.03,BERKULTEY-3,GY.05
GY.05.04,BERKULTEY-4,GY.05
GY.05.05,BERKULTEY-5,GY.05
GY.05.06,BERKULTEY-6,GY.05
GY.05.07,BERKULTEY-7 Shaghitan,GY.05
GY.05.08,BERKULTEY-8,GY.05
GY.05.09,DARKUT-1,GY.05
GY.05.10,DARKUT-2,GY.05
GY.05.11,DARKUT-3,GY.05
GY.05.12,DARKUT-4 Gamelti,GY.05
GY.05.13,DARKUT-5 Gartenz,GY.05
GY.05.14,DARKUT-6 Ghasum,GY.05
GY.05.15,HUNDUR Central,GY.05
GY.05.16,HUNDUR-2,GY.05
GY.05.17,HUNDUR-3,GY.05
GY.05.18,HUNDUR-4,GY.05
GY.05.19,HUNDUR-5,GY.05
GY.05.20,HUNDUR-6 Burakot,GY.05
GY.05.21,HUNDUR-7 Terset,GY.05
GY.05.22,UMALSAT-1,GY.05
GY.05.23,UMALSAT-2,GY.05
GY.05.24,DARKUT Sowaray,GY.05
GY.06.01,CHIKMOJOOR,GY.06
GY.06.02,DALSANDEY,GY.06
GY.06.03,GOJALTI-1,GY.06
GY.06.04,GOJALTI-2,GY.06
GY.06.05,MAWLAABAD Sandey-4,GY.06
GY.06.06,QARKULTEY-1 Paien,GY.06
GY.06.07,QARKULTEY-2 Bala,GY.06
GY.06.08,QARKULTEY-3 Bardass,GY.06
GY.06.09,SANDEY - 1,GY.06
GY.06.10,SANDEY - 2 Paien,GY.06
GY.06.11,SANDEY - 3,GY.06
GY.06.12,SANDEY - 5,GY.06
GY.06.13,SULTANABAD-1 SubCentre,GY.06
GY.06.14,SULTANABAD-2,GY.06
GY.06.15,SULTANABAD-3,GY.06
GY.06.16,SULTANABAD-4,GY.06
GY.06.17,TAOUS 7,GY.06
GY.06.18,TAOUS-1,GY.06
GY.06.19,TAOUS-2,GY.06
GY.06.20,TAOUS-3,GY.06
GY.06.21,TAOUS-4,GY.06
GY.06.22,TAOUS-5,GY.06
GY.06.23,TAOUS-6,GY.06
GY.06.24,TAUOUS-8,GY.06
GY.07.01,CHIRYAT,GY.07
GY.07.02,DALKOI,GY.07
GY.07.03,DAPIS,GY.07
GY.07.04,DASS-1 Paien,GY.07
GY.07.05,DASS-2 Bala,GY.07
GY.07.06,DRACH,GY.07
GY.07.07,DRASKIN,GY.07
GY.07.08,GHAINCHEL,GY.07
GY.07.09,HARF-2 Bala,GY.07
GY.07.10,HARF-3 Paien,GY.07
GY.07.11,ISHKAIBAR,GY.07
GY.07.12,ISHKAMDAS,GY.07
GY.07.13,KARIMABAD,GY.07
GY.07.14,KUNO,GY.07
GY.07.15,NALTY - 1,GY.07
GY.07.16,NALTY -2,GY.07
GY.07.17,QADAMABAD,GY.07
GY.07.18,RAHIMABAD,GY.07
GY.07.19,SHOTE,GY.07
GY.07.20,THELTI,GY.07
GY.07.21,THOI Central Harf-1,GY.07
GY.07.22,"HUSSAINABAD, Thoi",GY.07
GY.08.01,ATKASH,GY.08
GY.08.02,BOJAYOUT,GY.08
GY.08.03,DAMALGUN,GY.08
GY.08.04,GINDAI-1,GY.08
GY.08.05,GINDAI-2,GY.08
GY.08.06,GINDAI-3,GY.08
GY.08.08,MAHSHER,GY.08
GY.08.09,MURKAH,GY.08
GY.08.10,NAZBAR-1,GY.08
GY.08.11,NAZBAR-2,GY.08
GY.08.12,NAZBAR-3,GY.08
GY.08.13,NAZBAR-4,GY.08
GY.08.14,NOOH-1 Bala,GY.08
GY.08.15,NOOH-2 Paien,GY.08
GY.08.16,YASIN Central,GY.08
GY.08.17,YASIN-2,GY.08
GY.08.18,YASIN-3,GY.08
GY.08.19,YASIN-4 Manich,GY.08
HU.01.01,AGA KHAN TEKKERY Doiker,HU.01
HU.01.02,AHMEDABAD-1Paien,HU.01
HU.01.03,AHMEDABAD-2 Bala,HU.01
HU.01.04,AL MUSTAFABAD Brumbun,HU.01
HU.01.05,ALTIT Central,HU.01
HU.01.06,AMYNABAD,HU.01
HU.01.07,BARASHAL,HU.01
HU.01.08,BROONGSHAL-Altit,HU.01
HU.01.09,CHOBI KHUSHAL,HU.01
HU.01.10,EMANABAD,HU.01
HU.01.11,FAIZABAD,HU.01
HU.01.12,GANESH Kalan,HU.01
HU.01.13,GARA BEREZ,HU.01
HU.01.14,GHAMESH,HU.01
HU.01.15,HERCHI,HU.01
HU.01.16,IMAMYARABAD,HU.01
HU.01.17,KARIMABAD Central,HU.01
HU.01.18,KARIMABAD-2,HU.01
HU.01.19,MOMINABAD,HU.01
HU.01.20,MUHAMMADABAD,HU.01
HU.01.21,RAHIMABAD,HU.01
HU.01.22,SALMANABAD-1 Bala,HU.01
HU.01.23,SALMANABAD-2 Paien,HU.01
HU.01.24,"SARAT, Ã‚Â Sub Centre",HU.01
HU.01.25,SHANO KHUSHAL,HU.01
HU.01.26,SULTANABAD,HU.01
HU.01.27,ZIARAT Astana,HU.01
HU.01.28,AGA KHAN GIRLS HIGHER SEC. SCHOOL,HU.01
HU.02.01,AGAKHANABAD,HU.02
HU.02.02,ALYABAD Central,HU.02
HU.02.03,ALYABAD DALAT,HU.02
HU.02.04,BERBER,HU.02
HU.02.05,BROONGSHAL-Hyderabad,HU.02
HU.02.06,CHUMER KHAND,HU.02
HU.02.07,DOOR KHUN,HU.02
HU.02.08,FARMANABAD MURTAZAABAD-3,HU.02
HU.02.09,GARELTH,HU.02
HU.02.10,HASSANABAD-1,HU.02
HU.02.11,HASSANABAD-2,HU.02
HU.02.12,HASSANABAD-3,HU.02
HU.02.13,HASSANABAD-4,HU.02
HU.02.14,HYDERABAD Central,HU.02
HU.02.15,KHURU KHUSHAL,HU.02
HU.02.16,MURTAZAABAD-1,HU.02
HU.02.17,MURTAZAABAD-2,HU.02
HU.02.18,MURTAZAABAD-4,HU.02
HU.02.19,RAHIMABAD,HU.02
HU.02.20,SHAHABAD,HU.02
HU.02.21,SHERAZ,HU.02
HU.02.22,SINA KHAN,HU.02
HU.02.23,SULTANABAD,HU.02
HU.03.01,AMYNABAD Kirmin-2,HU.03
HU.03.02,AMYNABAD Yezerich,HU.03
HU.03.03,ISPANGE,HU.03
HU.03.04,KHAIRABAD,HU.03
HU.03.07,NOORABAD Kirmin-3,HU.03
HU.03.08,RAHIMABAD Kirmin-1,HU.03
HU.03.09,RESHIT Central,HU.03
HU.03.10,SHAR-E-SABZ,HU.03
HU.03.11,SHET MERG,HU.03
HU.03.12,ZOOD KHUN,HU.03
HU.04.01,ABGARCH,HU.04
HU.04.02,AMYNABAD Sost Paien,HU.04
HU.04.03,DHI KUNJERAB,HU.04
HU.04.04,GALAPAN,HU.04
HU.04.05,GIRCHA,HU.04
HU.04.06,HUSSAINABAD,HU.04
HU.04.07,IMAMABAD KhudaAbad-3,HU.04
HU.04.08,JAMALABAD,HU.04
HU.04.09,KARIMABAD KhudaAbad-2,HU.04
HU.04.10,KHUDAABAD Central,HU.04
HU.04.11,KHYBER-1,HU.04
HU.04.12,KHYBER-2 Imamabad,HU.04
HU.04.13,MISGAR-1,HU.04
HU.04.14,MISGAR-2,HU.04
HU.04.15,MOORKHUN,HU.04
HU.04.16,NAZIMABAD Sost Bala,HU.04
HU.04.17,SERTEZ,HU.04
HU.05.01,BORETH-1 Paien,HU.05
HU.05.02,BORETH-2 Bala,HU.05
HU.05.03,CHAMAN GUL,HU.05
HU.05.04,DALGIRAM,HU.05
HU.05.05,GULKIN,HU.05
HU.05.06,GULMIT Central,HU.05
HU.05.07,HUSSAINI,HU.05
HU.05.08,JANABAD Passu,HU.05
HU.05.09,KAMARIS,HU.05
HU.05.10,MURADABAD,HU.05
HU.05.11,NAZIMABAD-1Bala,HU.05
HU.05.12,NAZIMABAD-2 Darmiyan,HU.05
HU.05.13,PASSU Janabad,HU.05
HU.05.14,UDBER,HU.05
HU.06.01,HOON KOOT,HU.06
HU.06.02,HUSSAINABAD BALA -3,HU.06
HU.06.03,HUSSAINABAD MASHRAQI-4,HU.06
HU.06.04,HUSSAINABAD-1,HU.06
HU.06.05,HUSSAINABAD-2,HU.06
HU.06.06,KHANABAD-1,HU.06
HU.06.07,KHANABAD-2 Tekkery,HU.06
HU.06.08,KHANABAD-3 Mashraqi,HU.06
HU.06.09,KHIZARABAD,HU.06
HU.06.10,MAYOON,HU.06
HU.06.11,NASIRABAD Central,HU.06
HU.06.12,NASIRABAD-2 Bala,HU.06
HU.06.13,RAHMATABAD,HU.06
HU.06.14,SHAMSABAD Nasirabad,HU.06
HU.07.01,AMYNABAD Shemshal,HU.07
HU.07.02,FARMANABAD Shemshal,HU.07
HU.07.03,KHIZARABAD Shemshal,HU.07
HU.07.04,SHEMSHAL Sub-Centre,HU.07
HU.07.05,SHUJARAF,HU.07
HU.07.06,SHOUWORTH,HU.07
IP.01.01,AMYNABAD,IP.01
IP.01.02,BIRGALE,IP.01
IP.01.03,CHATOORKHAND Central,IP.01
IP.01.04,CHATOORKHAND Paien,IP.01
IP.01.05,CHATOORKHAND-3,IP.01
IP.01.06,CHINAR,IP.01
IP.01.07,DAIEN - 1 Paien,IP.01
IP.01.08,DAIEN - 2 Bala,IP.01
IP.01.09,DAIEN - 3,IP.01
IP.01.10,DAIEN - 4 Dook,IP.01
IP.01.11,DAIEN - 5 GOOL,IP.01
IP.01.12,DAIEN - 7 Paien,IP.01
IP.01.13,FAMANI,IP.01
IP.01.14,KOCHDEH,IP.01
IP.01.15,KOCHDEH - 2,IP.01
IP.01.16,"MAWLAABAD, Daien - 6",IP.01
IP.01.17,PAKORA - 1,IP.01
IP.01.18,PAKORA - 2,IP.01
IP.01.19,PAKORA - 3,IP.01
IP.01.20,RAHIMABAD Shunas,IP.01
IP.01.21,DAIEN Sholja,IP.01
IP.02.01,AIYESH-1,IP.02
IP.02.02,AIYESH-2,IP.02
IP.02.03,AIYESH-3,IP.02
IP.02.04,AZIZABAD Hatoon-6,IP.02
IP.02.05,DAMAS Central,IP.02
IP.02.06,DAMAS-2 Bala,IP.02
IP.02.07,HATOON-1,IP.02
IP.02.08,HATOON-2 Sub-Centre,IP.02
IP.02.09,HATOON-3,IP.02
IP.02.10,HATOON-4,IP.02
IP.02.11,HATOON-5 Mayoon,IP.02
IP.02.12,KUTOOLKEY,IP.02
IP.02.13,NOORABAD Damas,IP.02
IP.02.14,ZULFIQARABAD Damas,IP.02
IP.02.15,"ALYABAD, Damas",IP.02
IP.03.01,ANWERABAD,IP.03
IP.03.02,GAHKUCH-1 Bala,IP.03
IP.03.03,GAHKUCH-2 Bala,IP.03
IP.03.04,GAHKUCH-3 Paien,IP.03
IP.03.05,GAHKUCH-4 Paien,IP.03
IP.03.06,GAKUCH-5 Bala,IP.03
IP.03.07,GOLO DASS - 2,IP.03
IP.03.08,HASIS-1 Paien,IP.03
IP.03.09,HASIS-2 Bala,IP.03
IP.03.10,HASIS-3 Bidiri Khai,IP.03
IP.03.11,SILPI-1 Paien,IP.03
IP.03.12,SILPI-2 Bala,IP.03
IP.03.13,GOLODASS-3,IP.03
IP.03.14,"REHMATABAD, Hasis",IP.03
IP.03.15,AKHSS Hostel,IP.03
IP.04.01,ALYABAD,IP.04
IP.04.02,BARSWAT,IP.04
IP.04.03,BAZAR KUTOO,IP.04
IP.04.04,BILHANZ-1,IP.04
IP.04.05,BILHANZ-2,IP.04
IP.04.06,BOARTH,IP.04
IP.04.07,BOOQ SHAMSABAD,IP.04
IP.04.08,DOWERDAS,IP.04
IP.04.09,GISH GISH-1,IP.04
IP.04.10,GISH GISH-2,IP.04
IP.04.11,IMMIT Central,IP.04
IP.04.12,KUNJ Ganjabad,IP.04
IP.04.13,MOHTRAM DAS,IP.04
IP.04.14,MUJAWAR,IP.04
IP.04.15,NASIRABAD,IP.04
IP.04.16,NAUBAHAR,IP.04
IP.04.17,NOORABAD,IP.04
IP.04.18,RAHIMABAD Bar Jungle,IP.04
IP.04.19,REHMATABAD-1 Mujawar,IP.04
IP.04.20,SHAMSABAD Kakunekay,IP.04
IP.04.21,SHEHRI ROI,IP.04
IP.04.22,SULTANABAD,IP.04
IP.04.23,TESHNALOT,IP.04
IP.04.24,YAZBIN,IP.04
IP.05.01,ALYBASTI TUSHKIN - 2,IP.05
IP.05.02,DALTI,IP.05
IP.05.03,DAWOODABAD,IP.05
IP.05.04,FAIZABAD,IP.05
IP.05.05,FAIZABAD - 2 Bala,IP.05
IP.05.06,ISKHOMAN Central,IP.05
IP.05.07,JALALABAD,IP.05
IP.05.08,MOMINABAD,IP.05
IP.05.09,RAHIMABAD Gotolti,IP.05
IP.05.10,SHENIKEY,IP.05
IP.05.11,TAPUSHKIN,IP.05
IP.05.12,TUSHKIN,IP.05
IP.05.13,BAHARABAD,IP.05
IP.05.14,"HASSANABAD, Ishkoman",IP.05
IP.05.15,ALIABAD GHOTOLTI MAGJUT,IP.05
IP.06.02,DERENAY,IP.06
IP.06.03,HAMUCHAL,IP.06
IP.06.04,HUSSAINABAD Sherqilla-2,IP.06
IP.06.06,KARIMABAD Sherqilla-Sub-Centre,IP.06
IP.06.07,RAHIMABAD Sherqilla-3,IP.06
IP.06.08,SULTANABAD Sherqilla-4,IP.06
IP.07.01,Al-KARIM Singal - 2,IP.07
IP.07.02,BUBUR-1 Paien,IP.07
IP.07.03,BUBUR-2 Bala,IP.07
IP.07.04,BUBUR-4 Bala,IP.07
IP.07.05,GEECH,IP.07
IP.07.06,GOHARABAD,IP.07
IP.07.07,GULMUTI,IP.07
IP.07.08,GURUNJER-1 Paien,IP.07
IP.07.09,GURUNJER-2 Bala,IP.07
IP.07.10,GURUNJER-3 Bala,IP.07
IP.07.11,HUSSAINABAD Bubur-3 Bala,IP.07
IP.07.12,SINGAL Central,IP.07
IP.07.13,THINGDAS,IP.07
IP.07.14,DAS JAPUK,IP.07
IP.07.15,JAPUKAY,IP.07
LC.01.01,AFZALABAD,LC.01
LC.01.02,ALYABAD Arkari-Central,LC.01
LC.01.03,BESTI - 1 Paien,LC.01
LC.01.04,BESTI - 2 Bala,LC.01
LC.01.05,OWEER-1,LC.01
LC.01.06,OWEER-2 Lasht,LC.01
LC.01.07,PURPUNI,LC.01
LC.01.08,RABAT,LC.01
LC.01.09,RABAT MOKHI,LC.01
LC.01.10,RAHIMABAD,LC.01
LC.01.11,SADDAM,LC.01
LC.01.12,SAFEED ARKARI,LC.01
LC.01.13,SHOL,LC.01
LC.01.14,SHUNJUR GHUCH,LC.01
LC.01.15,SULTANABAD,LC.01
LC.02.01,ARGESH Parsan,LC.02
LC.02.02,BALACH,LC.02
LC.02.03,BILBIL Parsan,LC.02
LC.02.04,BILPUK,LC.02
LC.02.05,BODYOUGH,LC.02
LC.02.06,BUHTULI DEH,LC.02
LC.02.07,BUHTULI DOOK,LC.02
LC.02.08,BUHTULI GOOL-1,LC.02
LC.02.09,BUHTULI GOOL-2,LC.02
LC.02.10,CHINAR SOCIETY,LC.02
LC.02.11,HUSSAINABAD,LC.02
LC.02.12,KASETH,LC.02
LC.02.13,KILISHP,LC.02
LC.02.14,LASHT DEH Parsan,LC.02
LC.02.15,MAJIMI Parsan,LC.02
LC.02.16,MIRLAN DEH Parsan,LC.02
LC.02.17,OGHDER,LC.02
LC.02.18,SEEN LASHT,LC.02
LC.02.19,TILGRAM Parsan,LC.02
LC.03.01,BASHQIR-1 Bala,LC.03
LC.03.02,BASHQIR-2 Bala,LC.03
LC.03.03,BASHQIR-3 Paien Sub Centre,LC.03
LC.03.04,BEGHUSHT-1,LC.03
LC.03.05,BEGHUSHT-2,LC.03
LC.03.06,BEGHUSHT-3,LC.03
LC.03.07,BEGHUSHT-4,LC.03
LC.03.08,BEGHUSHT-5,LC.03
LC.03.09,BEHMI,LC.03
LC.03.10,BEKHI-1,LC.03
LC.03.11,BEKHI-2,LC.03
LC.03.12,BISRI,LC.03
LC.03.13,BURBUNO,LC.03
LC.03.14,CHERWIL,LC.03
LC.03.15,DIRI,LC.03
LC.03.16,DROSHP,LC.03
LC.03.17,EEJ,LC.03
LC.03.18,GAJAL,LC.03
LC.03.19,GHOLAKI,LC.03
LC.03.20,JITUR-1,LC.03
LC.03.21,JITUR-2,LC.03
LC.03.22,KANDUJAL-1,LC.03
LC.03.23,KANDUJAL-2,LC.03
LC.03.24,KANDUJAL-3,LC.03
LC.03.25,KHATINJ,LC.03
LC.03.26,KURU Munoor - 5,LC.03
LC.03.27,MAIDAN,LC.03
LC.03.28,MAIDAN-2,LC.03
LC.03.29,MEJEGRAM-1,LC.03
LC.03.30,MEJEGRAM-2,LC.03
LC.03.31,MEJEGRAM-3,LC.03
LC.03.32,MOGH-1,LC.03
LC.03.33,MOGH-2 Neej,LC.03
LC.03.34,MUNOOR-1,LC.03
LC.03.35,MUNOOR-2,LC.03
LC.03.36,MUNOOR-3,LC.03
LC.03.37,MUNOOR-4 Phalam,LC.03
LC.03.38,MURDAN,LC.03
LC.03.39,NARKURAIT-1,LC.03
LC.03.40,NARKURAIT-2,LC.03
LC.03.41,NARKURAIT-3,LC.03
LC.03.42,NARKURAIT-4 Ergo,LC.03
LC.03.43,NASIRABAD Central Ziarat,LC.03
LC.03.44,NIWEST,LC.03
LC.03.45,OCHILASHT,LC.03
LC.03.46,OCHU GOOL-1,LC.03
LC.03.47,OWIRK-1,LC.03
LC.03.48,OWIRK-2,LC.03
LC.03.49,PURTO,LC.03
LC.03.50,PUSTAKI-1,LC.03
LC.03.51,PUSTAKI-2,LC.03
LC.03.52,SANIQ,LC.03
LC.03.53,SANIQ PAIEN,LC.03
LC.03.54,SHAGRAM-1,LC.03
LC.03.55,SHAGRAM-2,LC.03
LC.03.56,TUNIQ,LC.03
LC.03.57,UCHO,LC.03
LC.03.58,UCHU GOOL-2,LC.03
LC.03.59,UTRAIE-1,LC.03
LC.03.60,UTRAIE-2,LC.03
LC.03.61,YOURJOGH,LC.03
LC.03.62,PUSTAKI-3,LC.03
LC.03.63,KISIS,LC.03
LC.03.98,Hazai,LC.03
LC.03.99,DOKH,LC.03
LC.04.01,MADAKLASHT-1,LC.04
LC.04.02,"MADAKLASHT-2, Sub-Centre",LC.04
LC.04.03,MADAKLASHT-3,LC.04
LC.04.04,MADAKLASHT-4,LC.04
LC.04.05,Kashankool,LC.04
LC.04.06,Jangle Deh,LC.04
LC.05.01,ALYABAD Amerdin-2,LC.05
LC.05.02,AMERDIN,LC.05
LC.05.03,BIRZEEN-1,LC.05
